random_state,module,rule_count,rule_rank,iforest_count,iforest_rank,overlap_count,rule_only_count,iforest_only_count,both_count,overlap_ratio_of_rule,overlap_ratio_of_iforest,jaccard_overlap_ratio
42,13(3호기),92,1,251,5,36,56,215,36,0.391304347826087,0.14342629482071714,0.11726384364820847
42,14(2호기),5,7,272,3,3,2,269,3,0.6,0.011029411764705883,0.010948905109489052
42,15(예비건조기),3,9,164,7,1,2,163,1,0.3333333333333333,0.006097560975609756,0.006024096385542169
42,16(호이스트),4,8,152,9,3,1,149,3,0.75,0.019736842105263157,0.0196078431372549
42,17(6호기),1,11,310,2,1,0,309,1,1.0,0.0032258064516129032,0.0032258064516129032
42,18(우측분전반2),0,12,257,4,0,0,257,0,0.0,0.0,0.0
42,2(L-1전등),7,5,155,8,3,4,152,3,0.42857142857142855,0.01935483870967742,0.018867924528301886
42,3(분쇄기(2)),11,2,88,12,1,10,87,1,0.09090909090909091,0.011363636363636364,0.01020408163265306
42,4(분쇄기(1)),7,5,105,11,3,4,102,3,0.42857142857142855,0.02857142857142857,0.027522935779816515
42,5(좌측분전반),3,9,426,1,2,1,424,2,0.6666666666666666,0.004694835680751174,0.00468384074941452
77,1(PM-3),4,8,104,10,3,1,101,3,0.75,0.028846153846153848,0.02857142857142857
77,11(우측분전반1),1,13,261,4,1,0,260,1,1.0,0.0038314176245210726,0.0038314176245210726
77,12(4호기),5,5,335,2,4,1,331,4,0.8,0.011940298507462687,0.011904761904761904
77,13(3호기),115,1,25,13,7,108,18,7,0.06086956521739131,0.28,0.05263157894736842
77,14(2호기),6,3,133,8,4,2,129,4,0.6666666666666666,0.03007518796992481,0.02962962962962963
77,15(예비건조기),4,8,278,3,1,3,277,1,0.25,0.0035971223021582736,0.0035587188612099642
77,16(호이스트),3,11,120,9,1,2,119,1,0.3333333333333333,0.008333333333333333,0.00819672131147541
77,17(6호기),3,11,89,11,1,2,88,1,0.3333333333333333,0.011235955056179775,0.01098901098901099
77,18(우측분전반2),5,5,168,7,1,4,167,1,0.2,0.005952380952380952,0.005813953488372093
77,2(L-1전등),9,2,599,1,7,2,592,7,0.7777777777777778,0.011686143572621035,0.011647254575707155
77,3(분쇄기(2)),5,5,181,6,3,2,178,3,0.6,0.016574585635359115,0.01639344262295082
77,4(분쇄기(1)),6,3,77,12,1,5,76,1,0.16666666666666666,0.012987012987012988,0.012195121951219513
77,5(좌측분전반),4,8,230,5,3,1,227,3,0.75,0.013043478260869565,0.012987012987012988
100,1(PM-3),3,9,359,1,1,2,358,1,0.3333333333333333,0.002785515320334262,0.002770083102493075
100,11(우측분전반1),2,11,293,3,1,1,292,1,0.5,0.0034129692832764505,0.003401360544217687
100,12(4호기),1,12,132,10,1,0,131,1,1.0,0.007575757575757576,0.007575757575757576
100,13(3호기),94,1,227,5,53,41,174,53,0.5638297872340425,0.23348017621145375,0.19776119402985073
100,14(2호기),3,9,106,11,2,1,104,2,0.6666666666666666,0.018867924528301886,0.018691588785046728
100,15(예비건조기),5,6,336,2,4,1,332,4,0.8,0.011904761904761904,0.011869436201780416
100,16(호이스트),6,5,137,9,3,3,134,3,0.5,0.021897810218978103,0.02142857142857143
100,17(6호기),8,3,202,7,5,3,197,5,0.625,0.024752475247524754,0.024390243902439025
100,18(우측분전반2),5,6,145,8,2,3,143,2,0.4,0.013793103448275862,0.013513513513513514
100,2(L-1전등),11,2,77,13,4,7,73,4,0.36363636363636365,0.05194805194805195,0.047619047619047616
100,3(분쇄기(2)),8,3,215,6,5,3,210,5,0.625,0.023255813953488372,0.022935779816513763
100,4(분쇄기(1)),1,12,89,12,0,1,89,0,0.0,0.0,0.0
100,5(좌측분전반),4,8,282,4,3,1,279,3,0.75,0.010638297872340425,0.01060070671378092
