module,rule_count_mean,rule_count_std,rule_count_min,rule_count_max,rule_rank_mean,rule_rank_std,rule_rank_min,rule_rank_max,iforest_count_mean,iforest_count_std,iforest_count_min,iforest_count_max,iforest_rank_mean,iforest_rank_std,iforest_rank_min,iforest_rank_max,both_count_mean,both_count_std,overlap_ratio_of_rule_mean,overlap_ratio_of_iforest_mean,jaccard_overlap_ratio_mean,rule_count_range,iforest_count_range,rule_rank_range,iforest_rank_range,rule_count_cv,iforest_count_cv
17(6호기),5.285714285714286,3.1471831698777724,1,10,6.857142857142857,3.8913824205360674,2,11,340.7142857142857,173.51245323771846,89,559,4.0,3.7416573867739413,1,11,3.5714285714285716,2.225394561056747,0.7130952380952381,0.011508380485286953,0.011386754279753466,9,470,9,10,0.5954130321390381,0.5092608690415217
15(예비건조기),5.571428571428571,2.9920529661723827,3,12,6.285714285714286,2.3603873774083297,2,9,276.7142857142857,99.56524541845963,164,430,3.857142857142857,1.9518001458970664,2,7,2.857142857142857,1.7728105208558367,0.5047619047619047,0.011185919718180701,0.011003189775026788,9,266,7,5,0.5370351477745302,0.35981245117667393
12(4호기),4.142857142857143,3.1847852585154217,0,9,7.571428571428571,3.6903993847614407,3,12,236.28571428571428,111.16011617739264,120,359,5.857142857142857,4.140393356054125,1,12,3.4285714285714284,2.5727509827123995,0.7287981859410431,0.015168720242430352,0.015121311772185888,9,239,9,11,0.7687412692968258,0.470447891923669
14(2호기),5.428571428571429,2.29906813420444,3,10,6.0,2.6457513110645907,3,9,233.0,166.5753082942767,73,568,6.142857142857143,4.375255094603872,1,12,2.857142857142857,0.8997354108424375,0.5785714285714285,0.01673592244320572,0.016466840131586547,7,495,6,11,0.42351255103766,0.7149154862415309
5(좌측분전반),4.0,1.632993161855452,2,7,8.142857142857142,2.2677868380553634,5,12,226.28571428571428,114.35429489925056,73,426,5.857142857142857,3.532165125838609,1,12,3.0,1.0,0.7993197278911565,0.02064217896266427,0.02058973526679423,5,353,7,11,0.408248290463863,0.5053535759436578
18(우측분전반2),3.5714285714285716,1.8126539343499313,0,5,7.857142857142857,2.5448360411214073,5,12,220.42857142857142,119.59077046725797,129,464,5.714285714285714,2.690370836538197,2,9,1.5714285714285714,1.3972762620115438,0.38095238095238093,0.007423888002389188,0.007309169705372204,5,335,7,7,0.5075431016179808,0.5425375199421943
2(L-1전등),7.285714285714286,3.093772546815388,4,11,4.857142857142857,2.9680841985233184,2,9,186.0,184.92521010758196,77,599,8.428571428571429,4.1576092031015,1,13,3.2857142857142856,1.889822365046136,0.4632446918161204,0.023353815965357374,0.022164470716648947,7,522,7,12,0.4246354476021121,0.9942215597181826
1(PM-3),5.428571428571429,2.14919697074224,3,8,5.714285714285714,2.8115408417381933,3,9,181.71428571428572,112.02933289353922,66,359,7.285714285714286,4.15187851918806,1,13,2.5714285714285716,1.5118578920369088,0.45833333333333337,0.017870045368943276,0.017464738082014115,5,293,6,12,0.3959047051367284,0.6165136244141309
13(3호기),99.28571428571429,11.743285822322553,85,115,1.0,0.0,1,1,165.42857142857142,96.41033337227073,25,290,7.428571428571429,3.8234863173611098,3,13,28.571428571428573,15.197117521174237,0.29479042277279804,0.1925713134532115,0.1156949063246333,30,265,0,10,0.11827769892986743,0.5827913070862653
11(우측분전반1),5.285714285714286,3.251373336211726,1,9,6.428571428571429,4.466808810815721,2,13,158.71428571428572,89.85305464240727,64,293,8.0,3.559026084010437,3,13,2.7142857142857144,1.799470821684875,0.5773809523809523,0.02753754422160288,0.0264237905987172,8,229,11,10,0.6151246852292455,0.566130857332899
3(분쇄기(2)),5.714285714285714,4.715728494951256,0,12,7.0,5.0990195135927845,2,13,145.85714285714286,61.50454880583649,77,222,8.428571428571429,3.408672412985387,5,13,2.2857142857142856,2.058663459163551,0.39036796536796536,0.017492713472030914,0.016691160260766554,12,145,11,8,0.8252524866164699,0.4216766323612688
4(분쇄기(1)),4.714285714285714,2.3603873774083297,1,7,7.0,3.605551275463989,3,12,117.71428571428571,37.97680996658481,77,189,9.571428571428571,2.2253945610567474,6,12,1.8571428571428572,1.0690449676496974,0.3843537414965986,0.015430425893111303,0.01501262702923373,6,112,9,6,0.5006882315714639,0.32261853126953116
16(호이스트),2.7142857142857144,1.889822365046136,1,6,10.571428571428571,3.0472470011002204,5,13,111.14285714285714,47.698457597105346,43,173,10.428571428571429,2.1491969707422394,8,13,1.5714285714285714,1.1338934190276817,0.6071428571428571,0.015821454025414853,0.015645613807371336,5,130,8,5,0.6962503450169975,0.42916350023102495
